Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
Usearch,https://finder.startupnationcentral.org/company_page/contextualweb,Online Search Engine Based on Synthetic Data,"Enterprise, IT & Data Infrastructure",2018,1-10,Pre-Funding
MagniLearn,https://finder.startupnationcentral.org/company_page/magnilearn,Lifelong Accelerated Learning,Content & Media,2019,11-50,Seed
Neurobrave,https://finder.startupnationcentral.org/company_page/neurobrave,Software Platform for Analyzing Neural Biomarkers/Insights,Life Sciences & HealthTech,2020,11-50,Seed
Ludeo,https://finder.startupnationcentral.org/company_page/edge-academy,AI-driven Gaming Platform,Content & Media,2020,11-50,A
aNeuSTART,https://finder.startupnationcentral.org/company_page/aneustart,At-home Diagnostic Kit for Children with Autism Spectrum Disorder,Life Sciences & HealthTech,2018,1-10,Pre-Funding
Saheylu Technologies,https://finder.startupnationcentral.org/company_page/saheylu-technologies,Wireless Systems for Controlling Software with Physiology & Motion,,2015,1-10,Pre-Funding
Cortica,https://finder.startupnationcentral.org/company_page/cortica,Autonomous AI Model Developer,Smart Mobility,2007,51-200,Mature
Brainsway,https://finder.startupnationcentral.org/company_page/brainsway,Advanced Technology Solutions for Brain Disorders,Life Sciences & HealthTech,2003,51-200,Public
InnerEye,https://finder.startupnationcentral.org/company_page/innereye,Real-time Visual Target Detection,Security Technologies,2013,11-50,Seed
Neurosteer,https://finder.startupnationcentral.org/company_page/neurosteer,Remote Brain Activity Monitoring and Assessment Platform,Life Sciences & HealthTech,2015,11-50,Seed
BrainQ Technologies,https://finder.startupnationcentral.org/company_page/brainq-technologies,Neurology Therapies Using Brain–Computer Interface Technology,Life Sciences & HealthTech,2016,11-50,B
ProSpec,https://finder.startupnationcentral.org/company_page/prospec,"Production of Recombinant Proteins, Cytokines, Growth Factors, and Chemokines",Life Sciences & HealthTech,2000,11-50,Mature
Innovision Labs,https://finder.startupnationcentral.org/company_page/glassesoff,Enhancing Human Image Processing,Life Sciences & HealthTech,2007,1-10,Public
Alpha Omega,https://finder.startupnationcentral.org/company_page/alpha-omega,Functional Neurosurgery and Neuroscience Research Solutions,Life Sciences & HealthTech,1993,51-200,Seed
Anima Biotech,https://finder.startupnationcentral.org/company_page/anima-biotech,Small-molecule mRNA Drug Discovery,Life Sciences & HealthTech,2014,51-200,Seed
Eco Fusion,https://finder.startupnationcentral.org/company_page/eco-fusion,Personalized Neuro-digital Therapeutics Platform,Life Sciences & HealthTech,2014,1-10,Mature
MemoApp,https://finder.startupnationcentral.org/company_page/memoapp,Alzheimer's Disease and Dementia Home Care Technology,Life Sciences & HealthTech,2020,1-10,Pre-Funding
BrainWavesAI,https://finder.startupnationcentral.org/company_page/brainwavesai,AI-based Technology for Continuous Monitoring and Prediction of Epileptic Seizures ,Life Sciences & HealthTech,2021,1-10,Pre-Funding
Cognitiv Neurosystems,https://finder.startupnationcentral.org/company_page/cognitiv-neurosystems,Consumer Neurotechnology Platform ,Life Sciences & HealthTech,2019,1-10,Pre-Funding
ImmunoBrain Checkpoint,https://finder.startupnationcentral.org/company_page/immunobrain-checkpoint,Disease-modifying Immunotherapies for Neurodegenerative Disorders,Life Sciences & HealthTech,2015,1-10,Seed
Glixogen Therapeutics,https://finder.startupnationcentral.org/company_page/glixogen-therapeutics,Treatment for Enhancing Remyelination in Neurodegenerative Disorders,Life Sciences & HealthTech,2018,1-10,Seed
Arctop,https://finder.startupnationcentral.org/company_page/arctop,Neural Interface Software ,Content & Media,2016,1-10,Seed
Nervio,https://finder.startupnationcentral.org/company_page/nervio,AI-based Surgical Neuromonitoring,Life Sciences & HealthTech,2019,11-50,Seed
Cognyxx Pharmaceuticals,https://finder.startupnationcentral.org/company_page/cognyxx-pharmaceuticals,Treatment for Cardiovascular and Neurodegenerative Disorders,Life Sciences & HealthTech,2018,1-10,Pre-Funding
QualiTalk,https://finder.startupnationcentral.org/company_page/mindecipher,Video Communication Coach for Sales Teams,Retail & Marketing,2019,1-10,Pre-Funding
Moodify,https://finder.startupnationcentral.org/company_page/moodify,Software-defined Scents,Life Sciences & HealthTech,2017,11-50,A
Fullest,https://finder.startupnationcentral.org/company_page/fullest,Mobile Platform for Creating a Meaningful Life,Life Sciences & HealthTech,2018,1-10,Pre-Funding
Genetika+,https://finder.startupnationcentral.org/company_page/genetika,Personalized Treatment Solutions for Depression,Life Sciences & HealthTech,2018,11-50,A
GSKure,https://finder.startupnationcentral.org/company_page/cerebramed,Therapeutic Target for Treating Neurogenetic Disorders ,Life Sciences & HealthTech,2016,1-10,Pre-Funding
NeuroSense Therapeutics,https://finder.startupnationcentral.org/company_page/neurosense-therapeutics,Drug for ALS,Life Sciences & HealthTech,2017,11-50,Public
