Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Full Description,Industries,Headquarters Location,Description,CB Rank (Company)
RailVision,https://www.crunchbase.com/organization/railvision,2015-01-01,year,"Rail Vision is focusing on train safety security maintenance and accident preventing on the rail track. Rail Vision is a leading provider of cutting-edge cognitive vision sensor technology and safety systems for the railway industry. Rail Vision’s solutions offer detection and classification of objects or obstacles (e.g. humans, vehicles, signals), rail path recognition (i.e. switch state detection), distance measurement and opportunity infrastructure condition monitoring.","Automotive, Big Data, Image Recognition, Security, Software, Transportation","Ra'anana, HaMerkaz, Israel",RailVision introduces an Automated Early Warning System dedicated to enhancing train safety.,"37,923"
Sency.,https://www.crunchbase.com/organization/fitv-ai,2019-03-14,day,"Using computer vision, Sency builds the brain of movement in order to drive people towards an active and healthy life. Founded in 2019, Sency created the See.Know.Guide (SKG) methodology. Using a mobile device camera, our unique algorithm understands movement thanks to massive data collection and expert knowledge. As a result, it provides real-time guidance and personalized plans. Sency's brain is constantly learning to serve with accurate actionable insights. Our technology is running on the Edge. All data is kept on the client’s device: no streaming to the cloud means no latency, no recording, and no chance of a breach of privacy. As a user-centric approach,  Sency deploys interactive experiences on consumer devices only - no hardware required. Our first applications based on our core technology are the “Sency Health” and the “WODProof” apps. From health to fitness, Sency already helped 450,000 people worldwide to achieve their physical goals and keep continuing.","Artificial Intelligence (AI), Computer Vision, Fitness, Health Care, Machine Learning, Real Time, Wellness","Tel Aviv, Tel Aviv, Israel","By understanding human movement, Sency drives millions to live an active, balanced and healthy life","38,262"
Firefly Neuroscience,https://www.crunchbase.com/organization/firefly-neuroscience,2006-01-01,year,"Firefly Neuroscience utilizes big data, signal processing, and AI to provide clinicians with quantitative and object measurements. Its FDA-cleared brain mapping technology is designed to improve patients suffering from mental illness. Data is captured and uploaded into the Firefly Neuroscience Data platform, which feeds a range of product opportunities.","Artificial Intelligence (AI), Big Data, Health Diagnostics, Medical","Herzliya, Tel Aviv, Israel","Firefly Neuroscience utilizes big data, signal processing, and AI to provide clinicians with quantitative and object measurements.","39,969"
TABI,https://www.crunchbase.com/organization/tabi-learning-technologies,2021-02-05,day,"Literacy isn’t as literally as we think. Technology failed eliminating distractions & nurturing cognitive order. As reading & writing rate decreasing to 1 digit figure, it creates dramatic impact on GDP & Human Capital in wider perspective and on individual’s ability to succeed at all levels, at information age. It seems that visual stress is the main syndrome causing nearly 50% of the population, subjective symptoms causing them unwilliness to read/write in a pleasant manner. The need for personalizing reading/writing experience became real need, requesting universal platform to deal with Literacy challenges TABI is an interactive learning platform AI based, automatically personalizing digital data to individual's visual difficulty. The platform is based on unique proprietary HW+SW, combining color EPD & eye-tracking system. We already developed several models with different sizes for mp, to serve as: 1. future back-pack for educational market.   2. Next generation paper tablet for consumer. TABI was founded in  2021 and was headquartered in HaDarom , Israel.","E-Learning, EdTech, Education, Hardware, Impact Investing, Social Impact, Software, Visual Search","Ashdod, HaDarom, Israel",TABI is an interactive learning platform that automatically personalizes digital data based on visual (learning) difficulties.,"41,704"
Cycode | Complete ASPM,https://www.crunchbase.com/organization/cycode,2019-01-01,year,"Cycode is the leading Application Security Posture Management (ASPM) providing Peace of Mind to its customers. Its complete ASPM platform scales and standardizes developer security without slowing down the business — delivering safe code, faster. The Complete ASPM platform can replace existing application security testing tools or integrate with them while providing cyber resiliency through unmatched visibility, risk driven prioritization and just in-time remediation of code vulnerabilities as scale. Cycode’s Risk Intelligence Graph (RIG), the ‘brain’ behind the platform, provides traceability across the entire SDLC through natural language. Backed by tier-one investors Insight Partners and YL Ventures, the series-B company has raised $80 million and boasts a number of the top global Fortune 100 customers in the world that are gaining immediate value.","Cyber Security, Software","Tel Aviv, Tel Aviv, Israel","Cycode's complete ASPM platform provides Peace of Mind to its customers without slowing down the business -- delivering safe code, faster!","41,799"
Particula,https://www.crunchbase.com/organization/particula-tech,2017-03-01,day,"Particula is a well-funded developer of cutting edge, connected toys. We define the future of play, by reviving new life to the timeless classics and powering them into the digital era  A new generation of (""Phygital"") games and toys, empowered with “brain and connectivity”, IoT technologies, and accompanied with premium apps that bridge the physical experience with the digital space. Our award winning products open up a whole new fun and exciting way to develop new skills, improve, play and socialize together near or far!  The company is a pioneer in its field, focusing on popular (evergreen) family favorites and STEM educational games with worldwide recognition with respect to their unique design, advanced tech and high quality values for families, parents and kids!  Our flagship product, GoCube, is an app-enabled connected Cube which allows players to learn, play and battle with friends from anywhere around the globe. We're proud of our 5 star rating on Amazon, and loved by over 300,000 customers worldwide.","EdTech, Education, Gaming","Netanya, HaMerkaz, Israel","Particula is a well-funded developer of cutting edge, connected toys.","43,550"
i-BrainTech,https://www.crunchbase.com/organization/i-brain-aa5b,2019-01-01,year,"Founded in 2019 in Israel, i-BrainTech is a deep tech startup applying state-of-the-art brain training technology to the sports arena. The company develops cutting-edge, brain-training technology that improves athletic performance and supports injured athletes in a successful return to play.  Driven by more than a decade of advanced scientific research, the technology enhances athletes' cognitive abilities and execution of key sports actions. The solution is a video game that athletes control with their brain activity only.","Artificial Intelligence (AI), Health Care, Software, Sports","Tel Aviv-yafo, Tel Aviv, Israel",AI-powered brain-training technology for athletic performance and return to play,"43,929"
Silenseed,https://www.crunchbase.com/organization/silenseed,1999-01-01,year,"Silenseed is a clinical stage biopharmaceutical company that develops proprietary RNA interference (RNAi)-based cancer drugs and delivery systems designed to effectively penetrate and treat malignant solid tumors.  The company’ novel drugs, used together with the new delivery system, the LODER™ (LOcal Drug EluteR), have the potential to be one of the most highly effective treatments for solid tumor cancers. Diseases that currently are included in the company’s pipeline are pancreatic cancer, prostate cancer and certain brain cancers.","Biopharma, Biotechnology, Health Care, Therapeutics","Jerusalem, Yerushalayim, Israel",Silenseed is a biopharmaceutical company that focuses on the development of cancer therapies.,"43,951"
Clicktale,https://www.crunchbase.com/organization/clicktale,2006-06-01,day,"Clicktale taps into the wisdom and behavior of millions of visitors so that businesses can deliver the best digital experiences and drive amazing business results. Complex behavioral patterns are synthesized based on millisecond-level actions such as hovers and scrolls, enabling businesses to interpret their customers’ digital body language and understand intent. The pioneer in Experience Analytics, Clicktale marries cognitive computing, machine learning and psychological research to automatically surface issues and answer questions that keep executives up at night. With unique behavioral data, clear visualizations, and world-class customer experience expertise, Clicktale is driving the “Experience Era” at the world’s leading brands. Clicktale’s global customer base includes Walmart, Microsoft, Adobe, MetLife, The Royal Bank of Scotland and Avis. Clicktale. Answer anything. Primary Benefits - Understand customer intent and digital body language - Rich behavioral data replicating every in-page visitor interaction, down to the millisecond  - Quantify impact -  Discover the business impact of visitor behavior, gestures and mindset. Create advanced segments to track behaviors observed in recordings.  - Prioritize - Identify in-page critical paths & junctures. Find best/worst performing paths and get insights on how to guide them back in the right direction. - Innovate -  Bring better experiences to market faster by automatically surfacing opportunities and challenges affecting business results, including questions you never thought to ask. Key features Watch and download Session Replays of your customers' actual browsing behavior. See every mouse move, click, scroll and keystroke. Data-rich, high fidelity Heatmaps aggregate thousands of browsing sessions showing you where visitors look, where they click, where they skip and how far down they scroll. Form Analytics helps increase your online forms' conversion rates by revealing which fields take too long to fill, are often left blank, or cause your customers to leave. Segment customers based on any browsing behavior or business process. Understand customers who have abandoned your funnel, experienced errors, or could not find what they were looking for.","Analytics, Business Intelligence, SaaS","Ramat Gan, Tel Aviv, Israel",Clicktale taps into the wisdom and behavior of millions of visitors to solve critical customer challenges and innovate superior experiences.,"44,381"
ElMindA,https://www.crunchbase.com/organization/elminda,2006-01-01,year,"ElMindA vision is to bring a paradigm change to the management of brain disorders and injuries, by transforming state of the art neuroscience into bed-side clinical practice.  ElMindA has developed the BNA™ technology platform, which for the first time allows high resolution visualization and evaluation of the complex neuro-physiological interconnections of the human brain at work, capturing information on the composition, connectivity, synchronization and operation of brain networks.","Biotechnology, Health Care, Health Diagnostics, Medical Device","Herzliya, Tel Aviv, Israel","ElMindA is a brain-tech company addressing the challenge of understanding the human brain, paving a path for better brain health.","47,878"
Pery,https://www.crunchbase.com/organization/periapt,2020-01-01,year,"Pery is an innovative digital health startup on a mission to build a better, more comprehensive and accessible care model to improve the experience of care for children with ADHD and their families. Our aim is to provide accessible, evidence-based treatment to children and families, empowering parents and children to develop the knowledge and skills they need to thrive.  Come be a part of a collaborative, multidisciplinary clinical care team committed to transforming mental health care for children with ADHD and their families.","Health Care, Medical, Therapeutics","Tel Aviv, Tel Aviv, Israel",Pery is on a mission to build a better care model for children with ADHD and their families.,"48,155"
Inpris,https://www.crunchbase.com/organization/inpris,2011-08-18,day,"Humains - AI Workforce Revolution. Inpris HumAIns is a System for Generating and Managing  Proactive Autonomous Employees for Enterprises. HumAIns are accurate conversational AI agents, built with Cognitive AI, a technological architecture inspired by the human brain, to combine human qualities with AI capabilities. HumAIns have acquired the ability to autonomously think, plan, and act. They lead accurate, human-like conversations, express emotions, execute real-world actions, and activate APIs—accomplishing tasks that were once exclusive to humans. Enterprises enjoy complete control and real-time monitoring, with an intuitive interface for reporting, analysis, and communication with HumAIns,  transforming the way businesses engage with their customers.","Artificial Intelligence (AI), Automotive, Big Data, Call Center, Machine Learning, Software","Jerusalem, Yerushalayim, Israel",Humains - AI Workforce Revolution.,"51,256"
Brain.space,https://www.crunchbase.com/organization/brain-space-1346,2018-01-01,year,"Brain.space is a brain-mapping data company that is on a mission to provide researchers, medical practitioners and software developers the underlying foundation to interpret, analyze, and build brain activity products and services. The end-to-end technology stack aims to power products, services, and apps that access and interpret brain activity data.","Medical, Software","Tel Aviv, Tel Aviv, Israel",Brain.space is a brain-mapping data company.,"55,702"
Anyverse Studio,https://www.crunchbase.com/organization/anyverse-studio,2021-11-10,day,"AnyVerse is a game studio that develops games for mental health and education fields. AnyVerse was founded in 2021 and was headquartered in Tel Aviv, Israel.","Mental Health, Virtual Reality","Tel Aviv, Tel Aviv, Israel",AnyVerse is a game studio that develops games for mental health and education fields.,"57,081"
NeuroSense Therapeutics,https://www.crunchbase.com/organization/neurosense-therapeutics,2017-01-01,year,"NeuroSense Therapeutics Ltd., is a clinical-stage biotechnology company, dedicated to the discovery and development of treatments for debilitating neurodegenerative diseases. Its lead product, PrimeC, is a novel oral therapy for the treatment of amyotrophic lateral sclerosis (ALS). The company's preclinical pipeline includes: (1) StabiliC for the treatment of Parkinson's disease and (2) CogniC for the treatment of Alzheimer's disease. NeuroSense Therapeutics Ltd. was incorporated in 2017 and is headquartered in Herzliya, Israel.","Biotechnology, Neuroscience, Therapeutics","Herzliya, Tel Aviv, Israel","NeuroSense Therapeutics is a clinical-stage drug development company, advancing a groundbreaking treatment for ALS.","58,181"
NeuroBrave,https://www.crunchbase.com/organization/neurobrave,2020-07-01,month,NeuroBrave Using ordinary wearable gadgets to gain access to real-time cognitive states.,"Artificial Intelligence (AI), Health Care, Neuroscience, Software, Wearables","Tel Aviv, Tel Aviv, Israel",Providing access to real-time cognitive and emotional states through everyday wearable devices,"58,657"
popbum,https://www.crunchbase.com/organization/popbum-2,2012-01-01,day,"popbum is company founded in 2012. QUUID (UQID) (TM & Patent Pending: CLASS 717) Quantum Unique Identifier. Fielding(TM Pending CLASS 706), N-Dimensional Asynchronous Asymmetrical Energy Field Processing AI. HyperCloud(TM Pending - CLASS 706) Cloud Storage AI. Neuro Medium/Media (TM Pending CLASS 01, 05, 10) - Brain to Photonics LifeLike (TM Pending - CLASS 9) Video generation software from textual content. Cogwheel.AI (TM Pending CLASS 706) - Brain to Image authenticity AI SubKuko - Libraries for Video Subtitling popbum ltd is open 24/7, including weekends and holidays.","Bioinformatics, Cyber Security, Military, Mobile Apps, Software, TV, Video","Tel Aviv, Tel Aviv, Israel",Software and hardware solutions.,"61,061"
Ornim Medical,https://www.crunchbase.com/organization/ornim-medical,2004-01-01,year,"Ornim Medical is an Israeli bio-medical high-technology company specializing in clinical research, development, and distribution of the highest quality medical devices for non-invasive patient monitoring specializing in the field of tissue and cerebral blood flow.  Its two products, the CerOx™ and the c-FLOW™, are bedside patient monitors based on the patented UTLight™ technology designed to provide physicians with unique monitoring solutions that are  imperative to individualized and personalized patient care. Both products enable precise, real time, continuous and non-invasive measurements of cerebral blood flow alerting physicians to variations in blood flow to the brain, thus enabling informed intervention for better clinical results and patient care.  Ornim’s CerOx™ monitor is the only device in the market today enabling simultaneous, non-invasive measurement of both blood flow and oxygen saturation; while the c-FLOW™ is a pared down version used to measure the CBF only.  The use of either of these products (depending on the clinical setting) is key to understand perfusion while helping to direct treatment and lower the cost of patient care. Ornim’s unique technology, protected by 13 worldwide granted and 15 worldwide pending patents, overcome limitations of Near Infrared Spectroscopy (NIRS) and ultrasound Doppler. The patented UTLight™ technology employs the combination of light and ultrasound to provide a non-invasive measure of regional blood oxygen saturation and blood flow.  UTLight™ technology is unique among all other commercially available NIRS technologies, since it also analyzes the light speckle signal and does not rely solely on the intensity of light reaching the detector. Ornim Medical has developed a product range that was born out of a need – a need to measure blood flow directly.   In other words, the products have the capabilities of direct measurement of flow (not surrogate like tissue oximetry); they are intuitive and comprehensive; actionable; the management of blood pressure (BP) according to CBF is intuitive; the measurement is robust and finally they are when adding the BP signal, the Autoregulation function of the organ can be assessed directly.","Biotechnology, Health Care, Medical Device, Neuroscience","Lod, HaMerkaz, Israel","Ornim Medical specializes in the clinical research, development, and distribution of medical devices for non-invasive patient monitoring.","69,187"
Taliaz,https://www.crunchbase.com/organization/taliaz,2012-01-01,year,"Taliaz is revolutionizing the treatment and management of mental health disorders with PREDICTIX.  PREDICTIX is a CE registered product that provides an advanced decision support software for psychiatrists and general practitioners. Harnessing artificial intelligence (AI), PREDICTIX can enable easy, effective and rapid patient assessment, improved prescribing precision and management for a wide range of mental health conditions.  PREDICTIX understands that mental health disorders are multifaceted and unique. Combining data science with machine learning, PREDICTIX translates complex genetic, metabolic, demographic and clinical data into an easy-to-use assessment and prescribing support tool. Starting in the field of depression where the right antidepressant is only prescribed in 49% of cases (Chekroud et al., 2016), PREDICTIX improves treatment prescribing accuracy by 47% to achieve 72% prescribing accuracy*.  PREDICTIX PRODUCTS  -	PREDICTIX Digital – 30% improvement in prescribing accuracy*. Combines AI analysis of patients’ clinical and demographic data to support doctor prescribing decisions.   -	PREDICTIX Genetics – 47% improvement in prescribing accuracy*. Further optimizes treatment decisions by combining a patient’s DNA analysis with AI.   PREDICTIX is an ideal software solution for payors, providers, DNA laboratories and telemedicine providers to improve patient outcomes, reduce costs and expand service offerings in the mental health space. PREDICTIX is commercially available in Europe.  Learn more at predictix.ai.   *Based on a retrospective analysis of four STAR*D study medications. STAR*D is one of the world’s largest prospective studies for optimal antidepressant administration. Disclaimer: Taliaz is developing the PREDICTIX Genetics and PREDICTIX Digital products. PREDICTIX (Genetics) Antidepressant is currently available for commercial use in the EU and Israel. Outside of the EU and Israel, PREDICTIX Genetics products are currently limited by law for investigational use only. PREDICTIX Digital products are currently limited by law for investigational use only.","Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Mental Health, mHealth, Personal Health, Predictive Analytics, Software","Tel Aviv, Tel Aviv, Israel","Taliaz is harnessing its proprietary AI platform, PREDICTIX , to improve mental health assessment, management and prescribing decisions.","72,035"
Theranica,https://www.crunchbase.com/organization/theranica,2016-01-01,year,"Theranica is a medical device company that has combined neuromodulation therapy with modern wireless technology to develop proprietary wearable solutions that address various medical conditions and disease states. The noninvasive and therapeutic 'smart' patches are controlled by a smartphone app to allow for personalized, portable, and affordable care. The patch consists of a proprietary 'smart' chip that delivers electrical pulses to neuro-modulate the sensory nerves under the skin. The first application of the technology is for treatment of migraine headaches.","Biotechnology, Medical, Therapeutics","Netanya, HaMerkaz, Israel",Theranica is an Israeli biomedical technology company focused on developing electronic and wireless communication technology.,"76,108"
Creomagic LTD,https://www.crunchbase.com/organization/creomagic,2015-09-01,day,"Creomagic brings an innovative solution to the field of Intelligent Mobile Ad-hoc Networks.  Our systems and patented technology provide high data rate, robust and scalable wireless connectivity solutions for secure, and resilient real-time network communication in challenging environments, for any mission- and business-critical application. The Creomagic team is composed of an experienced and dedicated team, with multi-disciplinary skills, that dedicated to providing an exceptional and affordable customer experience.","Industrial, Information Technology, Internet of Things, Telecommunications, Wireless","Ness Ziona, HaMerkaz, Israel",Creomagic brings an innovative solution to the field of Cognitive Mobile Ad-Hoc Networks,"85,135"
ForSight Robotics,https://www.crunchbase.com/organization/forsight-robotics,2020-04-01,month,"ForSight Robotics develops a platform to perform and deliver ophthalmic robotic surgeries. It combines robotic microsurgical technology, visualization technologies, and cognitive computing methods to automate ophthalmic surgeries that treat diseases underlying preventable blindness. ForSight Robotics was founded in 2020 and is headquartered in Yoqne`am `illit, Israel.","Health Care, Medical, Medical Device, Robotics","Yoqne`am `illit, HaZafon, Israel",ForSight Robotics develops a platform to perform and deliver ophthalmic robotic surgeries.,"88,904"
Intendu,https://www.crunchbase.com/organization/intendu,2012-01-01,year,"Intendu is driven by the mission of improving cognitive rehabilitation of people with brain dysfunction. Their goal is to deliver effective science-based cognitive training to everyone who needs it, everywhere. Intendu was founded by an interdisciplinary team of experts in brain research, clinical neuropsychology, computer science and healthcare IT. Intendu’s patent solution is used for training executive functions in leading rehabilitations institutions.","Biotechnology, Education, Fitness, Health Care, Health Diagnostics, Home Health Care, Medical Device, mHealth, Rehabilitation, Wellness","Tel Aviv, Tel Aviv, Israel",Intendu is a digital health company that delivers science-based cognitive training for brain dysfunction.,"89,804"
ActiView,https://www.crunchbase.com/organization/actiview-9cb4,2016-01-01,year,"ActiView develops a mixed reality assessment platform that leverages spatial data, deep learning methods and advanced neuroscience research to offer deep understanding of talent and predict success. Actiview is a next-generation assessment and recruiting decision-support platform. Assense utilizes mixed reality and deep learning technologies to deliver deep insights to HR managers. The company employs an elite team of scientists and experts in multiple disciplines, who work in cooperation with leading academic institutions, to take candidate assessment to the cutting edge of HR technology. ","Human Resources, Machine Learning, Recruiting, Software","Lod, HaMerkaz, Israel",ActiView develops a virtual reality technology for assessing job applicants.,"90,489"
infiBond,https://www.crunchbase.com/organization/infibond,2013-01-01,year,"NFI's technology adds the Human Dimension to digital platforms by reflecting the personality of the individual (states of mind, traits and motivators) on apps of service providers. The company developed a set of algorithms and deep learning AI platform that integrates into all major platforms, providing understanding of WHY individuals are doing something vs merely WHAT they are currently doing, enabling INFI's clients to understand HOW and WHEN to best approach, assess risk, increase loyalty (Fintech, E-Commerce, Healthcare) INFI complies with privacy regulations (GDPR,ISO standards, US laws).   Welcome to the infi era.","Artificial Intelligence (AI), Machine Learning, Psychology","Tel Aviv, Tel Aviv, Israel",Infi’s technology enables machines to process emotion and replicate the psychological functioning of the human brain.,"91,195"
Anicca Health,https://www.crunchbase.com/organization/anicca,2020-06-01,month,,"Health Care, Mental Health","Tel Aviv-jaffa, Tel Aviv, Israel",Anicca is a mental health company that develops a smart respiration sensor and intervention device for balancing stress levels.,"92,425"
Constru,https://www.crunchbase.com/organization/constru,2017-01-01,year,"Constru is building the future of efficiency, leveraging breakthrough computer vision technology to offer verifiably accurate project status for early defect detection and truly optimized scheduling. Combined with our Project Brain AI, the Constru OS enables owners, developers, and general contractors to consistently finish projects ahead of schedule and under budget. Already deployed with leading construction companies around the globe, our customers report average reduction in overall projects costs of 2-4%.","Artificial Intelligence (AI), Computer Vision, Construction","Tel Aviv, Tel Aviv, Israel",Computer Vision and AI,"95,226"
