Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
Valera Health,https://finder.startupnationcentral.org/company_page/valera-health,Comprehensive Behavioral Health Solution,Life Sciences & HealthTech,2015,201-500,A
CogniFit,https://finder.startupnationcentral.org/company_page/cognifit,Individualized Cognitive Training Tools,Life Sciences & HealthTech,1999,51-200,Mature
AttenGo,https://finder.startupnationcentral.org/company_page/attengo,Online Neurocognitive Training Program,Life Sciences & HealthTech,2006,11-50,Mature
NeuroTrax,https://finder.startupnationcentral.org/company_page/neurotrax,Cognitive Assessment,Life Sciences & HealthTech,2000,1-10,Mature
Neurotech Solutions,https://finder.startupnationcentral.org/company_page/neurotech-solutions,AI-based Technology for Diagnosing ADHD,Life Sciences & HealthTech,2008,11-50,Mature
Mon4t,https://finder.startupnationcentral.org/company_page/montfort-brain-monitor,Brain Monitor and Remote Treatment App,Life Sciences & HealthTech,2014,1-10,Mature
Inno-Bev,https://finder.startupnationcentral.org/company_page/wakeup,Natural Energy Drinks,AgriFood-tech & Water,2007,1-10,Mature
EyeClick,https://finder.startupnationcentral.org/company_page/eyeclick,Interactive Entertainment Platform for Kids,Content & Media,2005,51-200,Mature
VALIRE SOFTWARE,https://finder.startupnationcentral.org/company_page/valire,Cognitive Computing for Internal Fraud Detection,FinTech,2009,1-10,Seed
BioCatch,https://finder.startupnationcentral.org/company_page/biocatch,Al-driven Behavioral Biometrics for Cybersecurity,Security Technologies,2010,201-500,C
