Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
Shomerosh,https://finder.startupnationcentral.org/company_page/clara-mind,App for Detecting Preclinical Alzheimers Disease,Life Sciences & HealthTech,2016,1-10,Pre-Funding
Papayoma,https://finder.startupnationcentral.org/company_page/papayona,Wearable Device to Reduce Hand Tremors,Life Sciences & HealthTech,2015,1-10,Pre-Funding
Arctop,https://finder.startupnationcentral.org/company_page/arctop,Neural Interface Software ,Content & Media,2016,1-10,Seed
Unipharm,https://finder.startupnationcentral.org/company_page/unipharm,Generic Drug Manufacturing,Life Sciences & HealthTech,1975,51-200,Mature
Nervio,https://finder.startupnationcentral.org/company_page/nervio,AI-based Surgical Neuromonitoring,Life Sciences & HealthTech,2019,11-50,Seed
FUSMobile,https://finder.startupnationcentral.org/company_page/fusmobile,Focused Ultrasound Therapy for Chronic Pain,Life Sciences & HealthTech,2014,11-50,Seed
Cognyxx Pharmaceuticals,https://finder.startupnationcentral.org/company_page/cognyxx-pharmaceuticals,Treatment for Cardiovascular and Neurodegenerative Disorders,Life Sciences & HealthTech,2018,1-10,Pre-Funding
QualiTalk,https://finder.startupnationcentral.org/company_page/mindecipher,Video Communication Coach for Sales Teams,Retail & Marketing,2019,1-10,Pre-Funding
EndoStream Medical,https://finder.startupnationcentral.org/company_page/endostream-medical,Aneurysm Devices,Life Sciences & HealthTech,2015,11-50,A
Endoways,https://finder.startupnationcentral.org/company_page/endoways,Self-propelling Microcatheter for Tortuous Blood Vessels,Life Sciences & HealthTech,2018,1-10,Acquired
Moodify,https://finder.startupnationcentral.org/company_page/moodify,Software-defined Scents,Life Sciences & HealthTech,2017,11-50,A
BioT Medical,https://finder.startupnationcentral.org/company_page/biot-medical,Platform for Building Cloud-powered Regulated Medical Devices,Life Sciences & HealthTech,2018,11-50,Seed
Ceretrieve,https://finder.startupnationcentral.org/company_page/ceretrieve,Aspiration Catheter for Treating Ischemic Stroke,Life Sciences & HealthTech,2016,1-10,Seed
Beyeonics,https://finder.startupnationcentral.org/company_page/beyeonics-surgical,Surgical Visualization Technologies,Life Sciences & HealthTech,2018,51-200,B
NeuReality,https://finder.startupnationcentral.org/company_page/neureality,AI Inferencing Platforms,Industrial Technologies,2019,51-200,A
TrainPain,https://finder.startupnationcentral.org/company_page/trainpain,Neuroplasticity Training Technology,Life Sciences & HealthTech,2017,1-10,Seed
Fullest,https://finder.startupnationcentral.org/company_page/fullest,Mobile Platform for Creating a Meaningful Life,Life Sciences & HealthTech,2018,1-10,Pre-Funding
Genetika+,https://finder.startupnationcentral.org/company_page/genetika,Personalized Treatment Solutions for Depression,Life Sciences & HealthTech,2018,11-50,A
GSKure,https://finder.startupnationcentral.org/company_page/cerebramed,Therapeutic Target for Treating Neurogenetic Disorders ,Life Sciences & HealthTech,2016,1-10,Pre-Funding
Virility Medical,https://finder.startupnationcentral.org/company_page/virility-medical,Skin Patch for the Treatment of Premature Ejaculation,Life Sciences & HealthTech,2016,1-10,A
Theranica,https://finder.startupnationcentral.org/company_page/theranica-bio-electronics,Neuromodulation-based Patch for Migraine Relief,Life Sciences & HealthTech,2015,11-50,C
NYX Technologies,https://finder.startupnationcentral.org/company_page/nyx-technologies,Neurotechnology for Sleep Management and Stress Reduction,Life Sciences & HealthTech,2016,11-50,Seed
Protekt Therapeutics,https://finder.startupnationcentral.org/company_page/memofit,PKR Inhibition for Treating Neurodegenerative Diseases,Life Sciences & HealthTech,2014,1-10,Seed
XRHealth,https://finder.startupnationcentral.org/company_page/vrphysio,Virtual Clinic for Rehabilitation and Therapeutic Care,Life Sciences & HealthTech,2016,51-200,A
Alfa Rhythm,https://finder.startupnationcentral.org/company_page/alfa-rhythm,"Electro-biometric Stimulator for Depression, Anxiety, and Sleep Disorders",Life Sciences & HealthTech,2014,1-10,Pre-Funding
BioEye,https://finder.startupnationcentral.org/company_page/bioeye,Monitoring Cognitive States through the Eyes,Life Sciences & HealthTech,2014,11-50,Pre-Seed
Kanabo,https://finder.startupnationcentral.org/company_page/kanabo-research,Drug-delivery Platform for Medical Cannabis,Life Sciences & HealthTech,2016,11-50,Public
Mopair Technologies,https://finder.startupnationcentral.org/company_page/torsostreppers,Walking Rehabilitation and Fall Prevention Device,Life Sciences & HealthTech,2012,1-10,Seed
Brain1,https://finder.startupnationcentral.org/company_page/brain1,Brainwave Entrainment Device,Life Sciences & HealthTech,2015,1-10,Mature
Laser Beam Therapeutics,https://finder.startupnationcentral.org/company_page/laser-beam-therapeutics,Laser Therapy Solutions,Life Sciences & HealthTech,2016,1-10,Seed
Do4Brain,https://finder.startupnationcentral.org/company_page/do4brain,Cognitive Training for Seniors,Life Sciences & HealthTech,2015,1-10,Pre-Funding
Salute Rehab,https://finder.startupnationcentral.org/company_page/salute-rehab-ltd,Wearable Walking Rehabilitation System,Life Sciences & HealthTech,2015,1-10,Pre-Funding
