Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
Bam Medical,https://finder.startupnationcentral.org/company_page/liper,Tongue-training Device for Infants,Life Sciences & HealthTech,2015,1-10,Seed
Arcana Instruments,https://finder.startupnationcentral.org/company_page/arcana-instruments,Musical Instruments for People with Special Needs,Life Sciences & HealthTech,2018,1-10,Pre-Funding
Decodea,https://finder.startupnationcentral.org/company_page/chesstories,Chess Analysis Tool,Content & Media,2015,1-10,Pre-Funding
GGTUDE,https://finder.startupnationcentral.org/company_page/gg-apps,Digital Mental-health Solutions,Life Sciences & HealthTech,2019,1-10,Pre-Seed
GiantLeap,https://finder.startupnationcentral.org/company_page/giantleap-technologies,Personalized Child Development Assessment Platform,Life Sciences & HealthTech,2018,1-10,Pre-Seed
NOVOS,https://finder.startupnationcentral.org/company_page/novos,Training Platform for Gamers,Content & Media,2017,11-50,Seed
Mindlife Plus,https://finder.startupnationcentral.org/company_page/mindlife-solutions,Biofeedback Systems,Life Sciences & HealthTech,1993,1-10,Mature
Protekt Therapeutics,https://finder.startupnationcentral.org/company_page/memofit,PKR Inhibition for Treating Neurodegenerative Diseases,Life Sciences & HealthTech,2014,1-10,Seed
XRHealth,https://finder.startupnationcentral.org/company_page/vrphysio,Virtual Clinic for Rehabilitation and Therapeutic Care,Life Sciences & HealthTech,2016,51-200,A
BioEye,https://finder.startupnationcentral.org/company_page/bioeye,Monitoring Cognitive States through the Eyes,Life Sciences & HealthTech,2014,11-50,Pre-Seed
Otorize,https://finder.startupnationcentral.org/company_page/otorize,Cognitive Test to Prevent Impaired Driving,Smart Mobility,2016,1-10,Mature
Coronis Neurosciences,https://finder.startupnationcentral.org/company_page/coronis-neurosciences,Neurocognitive and Neurodegenerative Therapies,Life Sciences & HealthTech,2014,1-10,Seed
TechSee Augmented Vision,https://finder.startupnationcentral.org/company_page/techsee-augmented-vision,Intelligent Visual Customer Assistance Solution,"Enterprise, IT & Data Infrastructure",2014,51-200,C
GaitBetter,https://finder.startupnationcentral.org/company_page/gaitbetter,Motor-cognitive Gait Training & Fall Prevention,Life Sciences & HealthTech,2017,11-50,Seed
Brain1,https://finder.startupnationcentral.org/company_page/brain1,Brainwave Entrainment Device,Life Sciences & HealthTech,2015,1-10,Mature
Do4Brain,https://finder.startupnationcentral.org/company_page/do4brain,Cognitive Training for Seniors,Life Sciences & HealthTech,2015,1-10,Pre-Funding
Onvego,https://finder.startupnationcentral.org/company_page/onvego-ltd,Conversational App Platform,"Enterprise, IT & Data Infrastructure",2015,11-50,Mature
Voyager Labs,https://finder.startupnationcentral.org/company_page/voyager-labs,AI-based Behavioral Analytics,Security Technologies,2012,51-200,Mature
Innosphere,https://finder.startupnationcentral.org/company_page/innosphere,AI-based Brain Stimulation Device for Treatment of ADHD,Life Sciences & HealthTech,2016,1-10,Pre-Funding
Lasting Effect Consumer Pharma,https://finder.startupnationcentral.org/company_page/lasting-effect-consumer-pharma,"Buccal extended release drug delivery system. capable of releasing hydrophilic and lipophilic API's, buccally and sublingually absorbed, in a linear manner, during up to 8 hours. ",Life Sciences & HealthTech,2020,1-10,Pre-Funding
ViTAs Labs,https://finder.startupnationcentral.org/company_page/vitas-labs,Cognitive Training Tool,EdTech,2022,1-10,Pre-Funding
