Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="MediTouch",="https://finder.startupnationcentral.org/company_page/meditouch",="Physical Therapy Solutions",="Life Sciences & HealthTech",="2004",="11-50",="Mature",
="Cortica",="https://finder.startupnationcentral.org/company_page/cortica",="Autonomous AI Model Developer","Enterprise, IT & Data Infrastructure",="2007",="11-50",="D",
="Dentaray",="https://finder.startupnationcentral.org/company_page/dentaray",="CO2 Laser Technology",="Life Sciences & HealthTech",="2008",="1-10",="Seed",
="Brainsway",="https://finder.startupnationcentral.org/company_page/brainsway",="Advanced Technology Solutions for Brain Disorders",="Life Sciences & HealthTech",="2003",="51-200",="Public",
="InnerEye",="https://finder.startupnationcentral.org/company_page/innereye",="Real-time Visual Target Detection",="Security Technologies",="2013",="11-50",="Seed",
="RxWare",="https://finder.startupnationcentral.org/company_page/rxware",="Patient Journey Gateway",="Life Sciences & HealthTech",="2013",="11-50",="A",
="RevitalVision",="https://finder.startupnationcentral.org/company_page/revitalvision",="Neurological Treatment for Vision Disorders",="Life Sciences & HealthTech",="2019",="11-50",="Seed",
="X-trodes",="https://finder.startupnationcentral.org/company_page/x-trodes1",="Advanced Monitoring and Analysis of Biopotential Signals",="Life Sciences & HealthTech",="2019",="11-50",="Seed",
="Surgical Theater",="https://finder.startupnationcentral.org/company_page/surgical-theater",="VR Visualization Technology for Surgery",="Life Sciences & HealthTech",="2010",="51-200",="B",
="Neurim Pharmaceuticals",="https://finder.startupnationcentral.org/company_page/neurim-pharmaceuticals",="New Chemical Entities for Insomnia and Alzheimer's Disease",="Life Sciences & HealthTech",="1991",="11-50",="Mature",
="Conflu3nce",="https://finder.startupnationcentral.org/company_page/conflu3nce",="Personalized Solution for Detecting Cognitive Health Changes",="Life Sciences & HealthTech",="2016",="1-10",="Pre-Seed",
="BrainQ Technologies",="https://finder.startupnationcentral.org/company_page/brainq-technologies",="Neurology Therapies Using Brain–Computer Interface Technology",="Life Sciences & HealthTech",="2016",="11-50",="B",
="ProSpec",="https://finder.startupnationcentral.org/company_page/prospec","Production of Recombinant Proteins, Cytokines, Growth Factors, and Chemokines",="Life Sciences & HealthTech",="2000",="1-10",="Mature",
="Insightec",="https://finder.startupnationcentral.org/company_page/insightec",="MR-guided Focused Ultrasound Systems",="Life Sciences & HealthTech",="1999",="201-500",="F",
="DPE medical",="https://finder.startupnationcentral.org/company_page/dpe-medical",="Adjustable Stair Trainer",="Life Sciences & HealthTech",="1997",="1-10",="Mature",
