Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="Firefly Neuroscience",="https://finder.startupnationcentral.org/company_page/elminda",="Measuring Brain Health",="Life Sciences & HealthTech",="2006",="11-50",="E",
="NeuroTrax",="https://finder.startupnationcentral.org/company_page/neurotrax",="Cognitive Assessment",="Life Sciences & HealthTech",="2000",="1-10",="Mature",
="Innovision Labs",="https://finder.startupnationcentral.org/company_page/glassesoff",="Enhancing Human Image Processing",="Life Sciences & HealthTech",="2007",="1-10",="Public",
="Alpha Omega",="https://finder.startupnationcentral.org/company_page/alpha-omega",="Functional Neurosurgery and Neuroscience Research Solutions",="Life Sciences & HealthTech",="1993",="51-200",="Seed",
="Vibrant",="https://finder.startupnationcentral.org/company_page/vibrant",="Non-drug Treatment of Chronic Idiopathic Constipation",="Life Sciences & HealthTech",="2007",="11-50",="E",
="Mon4t",="https://finder.startupnationcentral.org/company_page/montfort-brain-monitor",="Brain Monitor and Remote Treatment App",="Life Sciences & HealthTech",="2014",="1-10",="Mature",
="QuantalX NeuroScience",="https://finder.startupnationcentral.org/company_page/nibs-neuroscience-technologies",="Direct Functional Brain Imaging",="Life Sciences & HealthTech",="2014",="1-10",="Pre-Funding",
="BlazeMeter",="https://finder.startupnationcentral.org/company_page/blazemeter",="Load and Performance Testing Platform","Enterprise, IT & Data Infrastructure",="2011",="11-50",="Acquired",
="Neurolief",="https://finder.startupnationcentral.org/company_page/neurolief",="Brain Neuromodulation Technology",="Life Sciences & HealthTech",="2013",="11-50",="Mature",
="Global Effective Education",="https://finder.startupnationcentral.org/company_page/global-effective-education",="STEM Totally Portable LabLess Lab + PATENT PENDING App for ""English Speaking Digital Teacher Assistant""",="Content & Media",="2015",="1-10",="Pre-Funding",
="Eco Fusion",="https://finder.startupnationcentral.org/company_page/eco-fusion",="Personalized Neuro-digital Therapeutics Platform",="Life Sciences & HealthTech",="2014",="1-10",="Mature",
="IntelliGym Labs",="https://finder.startupnationcentral.org/company_page/intelligym-labs",="Cognitive Training Software for Athletes ",="Life Sciences & HealthTech",="2003",="1-10",="Mature",
="SipNose",="https://finder.startupnationcentral.org/company_page/sipnose",="Intranasal Drug-delivery Platform",="Life Sciences & HealthTech",="2011",="1-10",="Mature",
="SlimTarget Medical",="https://finder.startupnationcentral.org/company_page/slimtarget-medical",="Focused Ultrasound-based Weight Loss Treatment",="Life Sciences & HealthTech",="2021",="1-10",="Seed",
="Nanocarry Therapeutics",="https://finder.startupnationcentral.org/company_page/nanocarry-therapeutics",="Nanoparticle-based Therapeutics for Brain Cancer and CNS Disorders",="Life Sciences & HealthTech",="2021",="1-10",="Pre-Seed",
="Madrigal Mental Care",="https://finder.startupnationcentral.org/company_page/madrigal-mental-care",="Nasal Spray for Delivering Psychedelic Drugs to Treat PTSD",="Life Sciences & HealthTech",="2021",="1-10",="Pre-Funding",
="eMazeLabs",="https://finder.startupnationcentral.org/company_page/emazelabs",="SaaS Platform for At-home Cognitive Therapy",="Life Sciences & HealthTech",="2021",="1-10",="Pre-Funding",
="TABI Learning Technologies",="https://finder.startupnationcentral.org/company_page/tabi-learning-technologies-ltd",="Personalized Digital Learning Platform for Students with Learning Disabilities",="Content & Media",="2021",="1-10",="Pre-Seed",
="Nextar Chempharma Solutions",="https://finder.startupnationcentral.org/company_page/nextar-chempharma-solutions",="Contract Drug Development and Manufacturing",="Life Sciences & HealthTech",="2007",="11-50",="Mature",
="NovaSight",="https://finder.startupnationcentral.org/company_page/novasight",="Digital Solutions for Pediatric Vision Care",="Life Sciences & HealthTech",="2016",="11-50",="A",
="Trapica",="https://finder.startupnationcentral.org/company_page/trapica-labs",="AI-based Marketing Tools",="Retail & Marketing",="2017",="11-50",="Mature",
="NeuroHELP",="https://finder.startupnationcentral.org/company_page/neurohelp",="Portable Neurotechnology for Forecasting Epileptic Seizures",="Life Sciences & HealthTech",="2018",="11-50",="Pre-Funding",
="MemoBoost",="https://finder.startupnationcentral.org/company_page/memoboost",="Drug Treatment to Inhibit Dementia",="Life Sciences & HealthTech",="2016",="1-10",="Seed",
