Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="NeuroIndex",="https://finder.startupnationcentral.org/company_page/neuroindex",="EEG for Preventing Brain Injury During Anesthesia",="Life Sciences & HealthTech",="2017",="1-10",="Pre-Seed",
="NeuroSense Therapeutics",="https://finder.startupnationcentral.org/company_page/neurosense-therapeutics",="Drug for ALS",="Life Sciences & HealthTech",="2017",="11-50",="Public",
="SynCath NeuroScience",="https://finder.startupnationcentral.org/company_page/syncath-neuroscience",="Cerebral Assist Device for Neurointensive Care",="Life Sciences & HealthTech",="2018",="1-10",="Seed",
="Prilenia Neurotherapeutics",="https://finder.startupnationcentral.org/company_page/prilenia-neurotherapeutics",="Treatments for Neurodegenerative and Neurodevelopmental Disorders",="Life Sciences & HealthTech",="2018",="11-50",="B",
="Firefly Neuroscience",="https://finder.startupnationcentral.org/company_page/elminda",="Measuring Brain Health",="Life Sciences & HealthTech",="2006",="11-50",="E",
="QuantalX NeuroScience",="https://finder.startupnationcentral.org/company_page/nibs-neuroscience-technologies",="Direct Functional Brain Imaging",="Life Sciences & HealthTech",="2014",="1-10",="Pre-Funding",
="CellCure Neurosciences",="https://finder.startupnationcentral.org/company_page/cell-cure-neurosciences",="Cell Therapies for Neural Degenerative Diseases",="Life Sciences & HealthTech",="2005",="11-50",="Seed",
="Cognitiv Neurosystems",="https://finder.startupnationcentral.org/company_page/cognitiv-neurosystems",="Consumer Neurotechnology Platform ",="Life Sciences & HealthTech",="2019",="1-10",="Pre-Funding",
="Coronis Neurosciences",="https://finder.startupnationcentral.org/company_page/coronis-neurosciences",="Neurocognitive and Neurodegenerative Therapies",="Life Sciences & HealthTech",="2014",="1-10",="Seed",
="Docet TI",="https://finder.startupnationcentral.org/company_page/docet-ti",="AI-centered Venture Studio","Enterprise, IT & Data Infrastructure",="2021",="11-50",="Seed",
="Sensegait",="https://finder.startupnationcentral.org/company_page/sensegait",="Belt for Noninvasive Neuroprosthesis",="Life Sciences & HealthTech",="2021",="1-10",="Pre-Funding",
="Aneuscreen",="https://finder.startupnationcentral.org/company_page/aneuscreen",="Decision-support System for the Early Detection of a Brain Aneurysm",="Digital Health",="2017",="1-10",="Seed",
="ANYCAN TECHNOLOGY",="https://finder.startupnationcentral.org/company_page/anycan-technology",="Mobility and Balance Platform",="Life Sciences & HealthTech",="2021",="1-10",="Pre-Funding",
="NurExone Biologic",="https://finder.startupnationcentral.org/company_page/nurexone-biologic",="EV-based Drug Platform to Treat Damage in the Central Nerve System ",="Life Sciences & HealthTech",="2020",="11-50",="Public",
="MetaSight Diagnostics",="https://finder.startupnationcentral.org/company_page/metasight-diagnostics",="Revolutionizing Liquid Biopsy",="Life Sciences & HealthTech",="2020",="11-50",="Seed",
="ELDA BrainTech",="https://finder.startupnationcentral.org/company_page/elda-braintech",="EEG and fMRI AI-powered Neurodiagnostic Platform ",="Life Sciences & HealthTech",="2019",="1-10",="Pre-Funding",
="Nayacure Labs",="https://finder.startupnationcentral.org/company_page/nayacure-labs",="Technologies for Restoring the Function of Failing Body Parts",="Life Sciences & HealthTech",="2010",="1-10",="Pre-Funding",
="X-trodes",="https://finder.startupnationcentral.org/company_page/x-trodes1",="Advanced Monitoring and Analysis of Biopotential Signals",="Life Sciences & HealthTech",="2019",="11-50",="Seed",
="RevitalVision",="https://finder.startupnationcentral.org/company_page/revitalvision",="Neurological Treatment for Vision Disorders",="Life Sciences & HealthTech",="2019",="1-10",="Seed",
="Re:pair",="https://finder.startupnationcentral.org/company_page/re-pair",="Hydrogel-based Platforms for Tissue Engineering",="Life Sciences & HealthTech",="2019",="1-10",="Pre-Funding",
="Immunai",="https://finder.startupnationcentral.org/company_page/immunai",="Peripheral Tissue Analysis",="Life Sciences & HealthTech",="2019",="1-10",="B",
="NINA Medical",="https://finder.startupnationcentral.org/company_page/nina-medical",="Image-guided Noninvasive Surgery Technologies",="Life Sciences & HealthTech",="2019",="1-10",="Seed",
="BrainBalance",="https://finder.startupnationcentral.org/company_page/brainbalance",="Minimally Invasive Device for the Treatment of Alzheimer's Disease",="Life Sciences & HealthTech",="2016",="1-10",="Pre-Funding",
="Effectivate",="https://finder.startupnationcentral.org/company_page/effectivate",="AI-based Computerized Cognitive Training for Older Adults",="Life Sciences & HealthTech",="2018",="11-50",="Seed",
="OpenDNA",="https://finder.startupnationcentral.org/company_page/opendna",="Precision Genomic Artificial Intelligence for Polygenic Diseases",="Life Sciences & HealthTech",="2018",="1-10",="Seed",
="Epeius Pharma",="https://finder.startupnationcentral.org/company_page/epeius-pharma",="Delivery of Therapeutic Proteins into the Central Nervous System",="Life Sciences & HealthTech",="2019",="1-10",="Seed",
="Mindtension",="https://finder.startupnationcentral.org/company_page/mindtension",="Rapid Diagnostic Platform for Measuring ADHD",="Life Sciences & HealthTech",="2020",="1-10",="Pre-Seed",
="Spero Biopharma",="https://finder.startupnationcentral.org/company_page/spero-biopharma",="Prevention and Treatment of Alzheimer's Disease",="Life Sciences & HealthTech",="2019",="1-10",="Pre-Funding",
="NuroTone Medical",="https://finder.startupnationcentral.org/company_page/nurotone",="Optical Cochlear Implant",="Life Sciences & HealthTech",="2018",="1-10",="Pre-Funding",
="Anicca Wellness",="https://finder.startupnationcentral.org/company_page/anicca-wellness",="Emotion and Stress Regulation Wearable Device",="Life Sciences & HealthTech",="2020",="1-10",="Pre-Seed",
="Ascento Medical",="https://finder.startupnationcentral.org/company_page/ascento-medical",="AI-based Solution for Dementia and Alzheimer's Disease",="Life Sciences & HealthTech",="2022",="11-50",="Pre-Seed",
="GrayMatters Health",="https://finder.startupnationcentral.org/company_page/graymatters-health",="Digital Therapy for Mental Health",="Life Sciences & HealthTech",="2018",="11-50",="A",
="Corsight",="https://finder.startupnationcentral.org/company_page/corsight",="Facial Recognition Technology",="Security Technologies",="2019",="11-50",="Seed",
